"report date,""location"",""location type"",""data field"",""data field code"",""time period"",""time period type"",""value"",""unit"""
"2016-05-07,""Roraima"",""state"",""municipality microcephaly"",""BR0004"",NA,NA,""2"",""municipalities"""
"2016-05-07,""Santa Catarina"",""state"",""municipality microcephaly"",""BR0004"",NA,NA,NA,""municipalities"""
"2016-05-07,""Sergipe"",""state"",""municipality microcephaly"",""BR0004"",NA,NA,""16"",""municipalities"""
"2016-05-07,""Sao Paulo"",""state"",""municipality microcephaly"",""BR0004"",NA,NA,""8"",""municipalities"""
"2016-05-07,""Tocantins"",""state"",""municipality microcephaly"",""BR0004"",NA,NA,""5"",""municipalities"""
"2016-05-07,""Acre"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""9"",""municipalities"""
"2016-05-07,""Alagoas"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""71"",""municipalities"""
"2016-05-07,""Amapa"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""4"",""municipalities"""
"2016-05-07,""Amazonas"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""4"",""municipalities"""
"2016-05-07,""Bahia"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""174"",""municipalities"""
"2016-05-07,""Ceara"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""101"",""municipalities"""
"2016-05-07,""Distrito Federal"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""1"",""municipalities"""
"2016-05-07,""Espirito Santo"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""28"",""municipalities"""
"2016-05-07,""Goias"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""29"",""municipalities"""
"2016-05-07,""Maranhao"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""82"",""municipalities"""
"2016-05-07,""Mato Grosso"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""37"",""municipalities"""
"2016-05-07,""Mato Grosso do Sul"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""10"",""municipalities"""
"2016-05-07,""Minas Gerais"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""57"",""municipalities"""
"2016-05-07,""Para"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""23"",""municipalities"""
"2016-05-07,""Paraiba"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""135"",""municipalities"""
"2016-05-07,""Parana"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""24"",""municipalities"""
"2016-05-07,""Pernambuco"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""176"",""municipalities"""
"2016-05-07,""Piaui"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""64"",""municipalities"""
"2016-05-07,""Rio Grande do Norte"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""82"",""municipalities"""
"2016-05-07,""Rio Grande do Sul"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""35"",""municipalities"""
"2016-05-07,""Rio de Janeiro"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""47"",""municipalities"""
"2016-05-07,""Rondonia"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""6"",""municipalities"""
"2016-05-07,""Roraima"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""6"",""municipalities"""
"2016-05-07,""Santa Catarina"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""5"",""municipalities"""
"2016-05-07,""Sergipe"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""53"",""municipalities"""
"2016-05-07,""Sao Paulo"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""80"",""municipalities"""
"2016-05-07,""Tocantins"",""state"",""municipality microcephaly suspected"",""BR0008"",NA,NA,""51"",""municipalities"""
